1477855683183	geckodriver	INFO	Listening on 127.0.0.1:37070
1477855684183	mozprofile::profile	INFO	Using profile path /tmp/rust_mozprofile.4gRn0zWa909e
1477855684185	geckodriver::marionette	INFO	Starting browser /usr/bin/firefox
1477855684188	geckodriver::marionette	INFO	Connecting to Marionette on localhost:33261
1477855684421	addons.manager	DEBUG	Application has been upgraded
1477855684440	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/XPIProvider.jsm: ["XPIProvider"]
1477855684441	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/LightweightThemeManager.jsm: ["LightweightThemeManager"]
1477855684446	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/GMPProvider.jsm
1477855684448	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/PluginProvider.jsm
1477855684449	addons.manager	DEBUG	Starting provider: XPIProvider
1477855684449	addons.xpi	DEBUG	startup
1477855684450	addons.xpi	INFO	SystemAddonInstallLocation directory is missing
1477855684450	addons.xpi	INFO	Mapping e10srollout@mozilla.org to /usr/lib/firefox/browser/features/e10srollout@mozilla.org.xpi
1477855684450	addons.xpi	INFO	Mapping firefox@getpocket.com to /usr/lib/firefox/browser/features/firefox@getpocket.com.xpi
1477855684451	addons.xpi	INFO	Mapping webcompat@mozilla.org to /usr/lib/firefox/browser/features/webcompat@mozilla.org.xpi
1477855684451	addons.xpi	INFO	Mapping langpack-zh-CN@firefox.mozilla.org to /usr/lib/firefox/browser/extensions/langpack-zh-CN@firefox.mozilla.org.xpi
1477855684452	addons.xpi	INFO	Mapping {972ce4c6-7e08-4474-a285-3208198ce6fd} to /usr/lib/firefox/browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
1477855684452	addons.xpi	INFO	Mapping langpack-en-GB@firefox.mozilla.org to /usr/lib/firefox/browser/extensions/langpack-en-GB@firefox.mozilla.org.xpi
1477855684452	addons.xpi	INFO	Mapping langpack-en-ZA@firefox.mozilla.org to /usr/lib/firefox/browser/extensions/langpack-en-ZA@firefox.mozilla.org.xpi
1477855684453	addons.xpi	DEBUG	checkForChanges
1477855684453	addons.xpi	DEBUG	Loaded add-on state from prefs: {}
1477855684454	addons.xpi	DEBUG	New add-on e10srollout@mozilla.org in app-system-defaults
1477855684455	addons.xpi	DEBUG	getModTime: Recursive scan of e10srollout@mozilla.org
1477855684455	addons.xpi	DEBUG	New add-on firefox@getpocket.com in app-system-defaults
1477855684456	addons.xpi	DEBUG	getModTime: Recursive scan of firefox@getpocket.com
1477855684456	addons.xpi	DEBUG	New add-on webcompat@mozilla.org in app-system-defaults
1477855684456	addons.xpi	DEBUG	getModTime: Recursive scan of webcompat@mozilla.org
1477855684457	addons.xpi	DEBUG	New add-on langpack-zh-CN@firefox.mozilla.org in app-global
1477855684457	addons.xpi	DEBUG	getModTime: Recursive scan of langpack-zh-CN@firefox.mozilla.org
1477855684457	addons.xpi	DEBUG	New add-on {972ce4c6-7e08-4474-a285-3208198ce6fd} in app-global
1477855684457	addons.xpi	DEBUG	getModTime: Recursive scan of {972ce4c6-7e08-4474-a285-3208198ce6fd}
1477855684458	addons.xpi	DEBUG	New add-on langpack-en-GB@firefox.mozilla.org in app-global
1477855684458	addons.xpi	DEBUG	getModTime: Recursive scan of langpack-en-GB@firefox.mozilla.org
1477855684458	addons.xpi	DEBUG	New add-on langpack-en-ZA@firefox.mozilla.org in app-global
1477855684458	addons.xpi	DEBUG	getModTime: Recursive scan of langpack-en-ZA@firefox.mozilla.org
1477855684458	addons.xpi	DEBUG	getInstallState changed: true, state: {"app-system-defaults":{"e10srollout@mozilla.org":{"d":"/usr/lib/firefox/browser/features/e10srollout@mozilla.org.xpi","st":1477423917000},"firefox@getpocket.com":{"d":"/usr/lib/firefox/browser/features/firefox@getpocket.com.xpi","st":1477423917000},"webcompat@mozilla.org":{"d":"/usr/lib/firefox/browser/features/webcompat@mozilla.org.xpi","st":1477423917000}},"app-global":{"langpack-zh-CN@firefox.mozilla.org":{"d":"/usr/lib/firefox/browser/extensions/langpack-zh-CN@firefox.mozilla.org.xpi","st":1477425489000},"{972ce4c6-7e08-4474-a285-3208198ce6fd}":{"d":"/usr/lib/firefox/browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi","st":1477423917000},"langpack-en-GB@firefox.mozilla.org":{"d":"/usr/lib/firefox/browser/extensions/langpack-en-GB@firefox.mozilla.org.xpi","st":1477425293000},"langpack-en-ZA@firefox.mozilla.org":{"d":"/usr/lib/firefox/browser/extensions/langpack-en-ZA@firefox.mozilla.org.xpi","st":1477425293000}}}
1477855684466	addons.xpi-utils	DEBUG	Opening XPI database /tmp/rust_mozprofile.4gRn0zWa909e/extensions.json
1477855684467	addons.xpi-utils	DEBUG	New add-on e10srollout@mozilla.org installed in app-system-defaults
*** Blocklist::_loadBlocklistFromFile: blocklist is disabled
1477855684476	DeferredSave.extensions.json	DEBUG	Save changes
1477855684477	addons.xpi-utils	DEBUG	New add-on firefox@getpocket.com installed in app-system-defaults
1477855684481	DeferredSave.extensions.json	DEBUG	Starting timer
1477855684482	DeferredSave.extensions.json	DEBUG	Save changes
1477855684482	addons.xpi-utils	DEBUG	New add-on webcompat@mozilla.org installed in app-system-defaults
1477855684485	DeferredSave.extensions.json	DEBUG	Save changes
1477855684486	addons.xpi-utils	DEBUG	New add-on langpack-zh-CN@firefox.mozilla.org installed in app-global
1477855684497	DeferredSave.extensions.json	DEBUG	Save changes
